date,product_id,category,price,cost,discount_pct,units_sold,revenue,inventory_level,competitor_price,season,day_of_week,profit,margin_pct,price_diff_competitor
03-01-2024,P101,Fashion,896.0,598.86,0,2,1792.0,113,859.64,Sale,Wednesday,594.28,0.33162946428571427,36.360000000000014
03-01-2024,P102,Sports,1111.0,688.34,0,0,0.0,308,1108.05,Normal,Wednesday,0.0,,2.9500000000000455
03-01-2024,P103,Fashion,912.95,756.01,5,2,1825.9,23,916.54,Festival,Wednesday,313.8800000000001,0.171904266389178,-3.589999999999918
03-01-2024,P104,Fashion,661.2,538.31,5,5,3306.0,415,681.1,Normal,Wednesday,614.4500000000003,0.18585904416212953,-19.899999999999977
03-01-2024,P105,Electronics,1267.35,1009.74,15,0,0.0,63,1318.72,Normal,Wednesday,0.0,,-51.37000000000012
03-01-2024,P106,Fashion,1402.2,913.48,5,0,0.0,283,1342.07,Normal,Wednesday,0.0,,60.13000000000011
03-01-2024,P107,Home,1419.0,1048.04,0,0,0.0,395,1480.96,Festival,Wednesday,0.0,,-61.960000000000036
03-01-2024,P108,Electronics,787.5,556.05,10,2,1575.0,196,811.66,Festival,Wednesday,462.9000000000001,0.29390476190476195,-24.159999999999968
03-01-2024,P109,Home,1413.0,1006.58,0,0,0.0,298,1438.41,Sale,Wednesday,0.0,,-25.410000000000082
03-01-2024,P110,Electronics,261.0,182.52,0,3,783.0,38,255.72,Normal,Wednesday,235.43999999999994,0.3006896551724137,5.280000000000001
03-01-2024,P111,Sports,1050.0,733.54,0,0,0.0,415,1007.13,Normal,Wednesday,0.0,,42.870000000000005
03-01-2024,P112,Sports,1374.0,1039.1,0,2,2748.0,205,1433.21,Normal,Wednesday,669.8000000000002,0.24374090247452698,-59.210000000000036
03-01-2024,P113,Home,814.15,680.23,5,0,0.0,420,841.58,Normal,Wednesday,0.0,,-27.430000000000064
03-01-2024,P114,Electronics,1251.9,854.84,10,2,2503.8,24,1277.72,Normal,Wednesday,794.1200000000001,0.31716590782011345,-25.819999999999936
03-01-2024,P115,Fashion,594.15,452.49,15,1,594.15,311,599.61,Normal,Wednesday,141.65999999999997,0.23842464024236298,-5.460000000000036
03-01-2024,P116,Electronics,1075.0,765.06,0,3,3225.0,58,1118.68,Normal,Wednesday,929.8200000000002,0.2883162790697675,-43.680000000000064
03-01-2024,P117,Sports,607.5,508.57,10,0,0.0,406,622.34,Normal,Wednesday,0.0,,-14.840000000000032
03-01-2024,P118,Home,1023.0,721.9,0,1,1023.0,192,1053.91,Holiday,Wednesday,301.1,0.2943304007820137,-30.910000000000082
03-01-2024,P119,Home,914.85,592.01,5,2,1829.7,421,957.78,Normal,Wednesday,645.6800000000001,0.3528884516587419,-42.92999999999995
04-01-2024,P100,Home,1482.0,1156.3,0,0,0.0,243,1449.54,Normal,Thursday,0.0,,32.460000000000036
04-01-2024,P101,Fashion,875.0,606.15,0,0,0.0,239,882.32,Normal,Thursday,0.0,,-7.32000000000005
04-01-2024,P102,Home,701.0,425.13,0,0,0.0,480,694.78,Festival,Thursday,0.0,,6.220000000000027
04-01-2024,P103,Sports,997.0,770.89,0,4,3988.0,308,949.78,Sale,Thursday,904.44,0.22679037111334002,47.22000000000003
04-01-2024,P104,Home,338.4,253.93,10,0,0.0,334,334.78,Sale,Thursday,0.0,,3.6200000000000045
04-01-2024,P105,Electronics,543.6,369.21,10,1,543.6,370,560.61,Festival,Thursday,174.39000000000004,0.3208057395143489,-17.00999999999999
04-01-2024,P106,Home,1076.4,891.29,10,1,1076.4,104,1063.25,Normal,Thursday,185.11000000000013,0.171971386101821,13.150000000000091
04-01-2024,P107,Fashion,615.6,475.85,5,2,1231.2,91,606.87,Normal,Thursday,279.5,0.22701429499675113,8.730000000000018
04-01-2024,P108,Fashion,317.0,242.91,0,1,317.0,255,327.03,Normal,Thursday,74.09,0.23372239747634072,-10.029999999999973
04-01-2024,P109,Home,1062.1,839.65,5,0,0.0,454,1083.78,Holiday,Thursday,0.0,,-21.680000000000064
04-01-2024,P110,Fashion,954.75,725.23,5,4,3819.0,454,959.98,Holiday,Thursday,918.0799999999999,0.24039800995024874,-5.230000000000018
04-01-2024,P111,Sports,666.9,536.79,10,1,666.9,407,696.88,Normal,Thursday,130.11,0.19509671614934776,-29.980000000000018
04-01-2024,P112,Electronics,1123.85,720.65,5,1,1123.85,145,1106.7,Festival,Thursday,403.19999999999993,0.3587667393335409,17.149999999999864
04-01-2024,P113,Sports,989.1,735.38,10,0,0.0,112,986.52,Holiday,Thursday,0.0,,2.580000000000041
04-01-2024,P114,Home,1228.0,821.55,0,0,0.0,345,1170.51,Normal,Thursday,0.0,,57.49000000000001
04-01-2024,P115,Fashion,1296.0,801.52,0,0,0.0,75,1320.34,Sale,Thursday,0.0,,-24.339999999999918
04-01-2024,P116,Electronics,482.4,351.28,10,2,964.8,272,494.38,Holiday,Thursday,262.24,0.27180762852404644,-11.980000000000018
04-01-2024,P117,Sports,249.3,191.82,10,4,997.2,331,237.75,Normal,Thursday,229.92000000000007,0.23056558363417576,11.550000000000011
04-01-2024,P118,Home,949.0,711.68,0,0,0.0,313,983.85,Normal,Thursday,0.0,,-34.85000000000002
04-01-2024,P119,Fashion,1262.0,838.49,0,0,0.0,319,1240.23,Normal,Thursday,0.0,,21.769999999999982
05-01-2024,P100,Electronics,266.0,194.12,0,2,532.0,489,268.24,Normal,Friday,143.76,0.2702255639097744,-2.240000000000009
05-01-2024,P101,Electronics,771.4,546.16,5,0,0.0,459,776.86,Normal,Friday,0.0,,-5.460000000000036
05-01-2024,P102,Electronics,861.0,555.4,0,1,861.0,369,859.95,Normal,Friday,305.6,0.3549361207897794,1.0499999999999545
05-01-2024,P103,Sports,428.0,340.89,0,0,0.0,239,423.63,Holiday,Friday,0.0,,4.3700000000000045
05-01-2024,P104,Fashion,972.0,754.0,10,2,1944.0,213,1003.19,Normal,Friday,436.0,0.2242798353909465,-31.190000000000055
05-01-2024,P105,Fashion,1341.0,995.28,0,0,0.0,159,1372.68,Normal,Friday,0.0,,-31.680000000000064
05-01-2024,P106,Sports,338.0,265.8,0,4,1352.0,409,341.17,Normal,Friday,288.79999999999995,0.21360946745562126,-3.170000000000016
05-01-2024,P107,Electronics,501.6,397.08,5,1,501.6,438,500.17,Normal,Friday,104.52000000000004,0.20837320574162685,1.4300000000000068
05-01-2024,P108,Fashion,369.75,296.54,15,3,1109.25,437,387.9,Normal,Friday,219.62999999999988,0.19799864773495596,-18.149999999999977
05-01-2024,P109,Sports,964.8,804.11,10,4,3859.2,184,996.17,Sale,Friday,642.7599999999998,0.16655265339966827,-31.370000000000005
05-01-2024,P110,Fashion,695.7,519.28,10,2,1391.4,315,688.22,Normal,Friday,352.84000000000015,0.2535863159407792,7.480000000000018
05-01-2024,P111,Electronics,1183.7,856.94,5,2,2367.4,469,1166.58,Normal,Friday,653.52,0.2760496747486694,17.12000000000012
05-01-2024,P112,Home,1072.7,786.71,15,1,1072.7,475,1086.4,Festival,Friday,285.99,0.26660762561760043,-13.700000000000045
05-01-2024,P113,Fashion,1235.9,1039.07,15,3,3707.7,430,1267.09,Festival,Friday,590.4899999999998,0.15926045796585478,-31.189999999999827
05-01-2024,P114,Fashion,716.0,555.15,0,1,716.0,178,739.0,Normal,Friday,160.85000000000002,0.22465083798882685,-23.0
05-01-2024,P115,Sports,1484.0,1034.75,0,6,8904.0,430,1524.35,Festival,Friday,2695.5,0.30272911051212936,-40.34999999999991
05-01-2024,P116,Sports,993.0,645.81,0,0,0.0,349,961.38,Normal,Friday,0.0,,31.620000000000005
05-01-2024,P117,Home,595.0,465.51,0,1,595.0,130,571.25,Festival,Friday,129.49,0.21763025210084036,23.75
05-01-2024,P118,Sports,499.5,434.98,10,0,0.0,146,475.67,Normal,Friday,0.0,,23.829999999999984
05-01-2024,P119,Electronics,978.0,674.98,0,4,3912.0,129,1025.42,Normal,Friday,1212.08,0.3098364008179959,-47.42000000000007
06-01-2024,P100,Electronics,727.7,494.44,5,3,2183.1,328,718.92,Normal,Saturday,699.78,0.3205441802940772,8.780000000000086
06-01-2024,P101,Home,585.0,405.49,0,0,0.0,147,609.48,Normal,Saturday,0.0,,-24.480000000000018
06-01-2024,P102,Home,1405.0,892.56,0,0,0.0,363,1393.61,Normal,Saturday,0.0,,11.3900000000001
06-01-2024,P103,Fashion,1081.2,808.49,15,0,0.0,137,1043.21,Sale,Saturday,0.0,,37.99000000000001
06-01-2024,P104,Sports,760.0,501.54,0,0,0.0,454,752.2,Normal,Saturday,0.0,,7.7999999999999545
06-01-2024,P105,Electronics,460.75,372.15,5,1,460.75,390,451.26,Normal,Saturday,88.60000000000002,0.19229517091698323,9.490000000000009
06-01-2024,P106,Sports,1269.2,908.68,5,0,0.0,404,1225.44,Normal,Saturday,0.0,,43.75999999999999
06-01-2024,P107,Home,361.0,246.11,0,5,1805.0,197,348.59,Sale,Saturday,574.4499999999998,0.3182548476454293,12.410000000000025
06-01-2024,P108,Electronics,958.0,623.45,0,2,1916.0,347,958.53,Normal,Saturday,669.0999999999999,0.34921711899791225,-0.5299999999999727
06-01-2024,P109,Home,1487.0,921.77,0,0,0.0,139,1520.05,Sale,Saturday,0.0,,-33.049999999999955
06-01-2024,P110,Sports,364.0,228.67,0,2,728.0,485,357.59,Normal,Saturday,270.66,0.37178571428571433,6.410000000000025
06-01-2024,P111,Sports,252.9,218.77,10,2,505.8,253,248.9,Sale,Saturday,68.25999999999999,0.13495452748121786,4.0
06-01-2024,P112,Home,595.0,455.85,0,3,1785.0,412,611.29,Normal,Saturday,417.4499999999998,0.2338655462184873,-16.289999999999964
06-01-2024,P113,Sports,935.0,640.51,0,1,935.0,59,913.37,Festival,Saturday,294.49,0.3149625668449198,21.629999999999995
06-01-2024,P114,Electronics,1458.0,997.77,0,0,0.0,117,1516.4,Normal,Saturday,0.0,,-58.40000000000009
06-01-2024,P115,Electronics,1238.4,962.5,10,2,2476.8,361,1189.68,Normal,Saturday,551.8000000000002,0.22278746770025845,48.72000000000003
06-01-2024,P116,Fashion,883.5,669.12,5,4,3534.0,474,898.08,Normal,Saturday,857.52,0.24264855687606113,-14.580000000000041
06-01-2024,P117,Fashion,296.1,208.34,10,2,592.2,311,283.75,Sale,Saturday,175.52000000000004,0.2963863559608241,12.350000000000023
06-01-2024,P118,Home,189.0,140.94,10,3,567.0,246,185.17,Holiday,Saturday,144.18,0.2542857142857143,3.8300000000000125
06-01-2024,P119,Home,1233.9,867.02,10,0,0.0,384,1276.64,Normal,Saturday,0.0,,-42.74000000000001
07-01-2024,P100,Fashion,244.8,167.29,10,5,1224.0,446,244.69,Normal,Sunday,387.55000000000007,0.3166258169934641,0.11000000000001364
07-01-2024,P101,Electronics,1098.2,876.25,5,0,0.0,31,1100.54,Normal,Sunday,0.0,,-2.339999999999918
07-01-2024,P102,Sports,774.0,646.55,10,2,1548.0,219,784.62,Normal,Sunday,254.9000000000001,0.16466408268733856,-10.620000000000005
07-01-2024,P103,Home,1180.0,819.68,0,1,1180.0,26,1135.22,Normal,Sunday,360.32000000000005,0.30535593220338986,44.77999999999997
07-01-2024,P104,Fashion,1026.0,809.36,0,3,3078.0,442,1063.15,Normal,Sunday,649.9200000000001,0.21115009746588698,-37.15000000000009
07-01-2024,P105,Sports,1194.0,850.29,0,3,3582.0,190,1239.97,Normal,Sunday,1031.13,0.2878643216080402,-45.97000000000003
07-01-2024,P106,Sports,226.1,157.81,5,8,1808.8,428,232.67,Festival,Sunday,546.3199999999999,0.3020344980097302,-6.569999999999993
07-01-2024,P107,Fashion,433.5,353.12,15,2,867.0,288,411.84,Normal,Sunday,160.76,0.18542099192618222,21.660000000000025
07-01-2024,P108,Home,1262.0,759.59,0,0,0.0,337,1210.07,Normal,Sunday,0.0,,51.930000000000064
07-01-2024,P109,Home,539.0,402.91,0,5,2695.0,161,518.0,Normal,Sunday,680.4499999999998,0.25248608534322814,21.0
07-01-2024,P110,Fashion,492.0,299.34,0,0,0.0,92,516.0,Normal,Sunday,0.0,,-24.0
07-01-2024,P111,Sports,818.1,723.99,10,3,2454.3,81,826.35,Festival,Sunday,282.3299999999999,0.115034836817015,-8.25
07-01-2024,P112,Sports,825.35,627.59,15,1,825.35,392,837.7,Sale,Sunday,197.76,0.23960743926818923,-12.350000000000023
07-01-2024,P113,Electronics,856.8,753.46,10,0,0.0,73,882.57,Holiday,Sunday,0.0,,-25.770000000000095
07-01-2024,P114,Home,1243.0,993.13,0,0,0.0,197,1230.1,Normal,Sunday,0.0,,12.900000000000091
07-01-2024,P115,Electronics,1343.0,1006.68,0,2,2686.0,376,1396.04,Normal,Sunday,672.6400000000001,0.2504244229337305,-53.039999999999964
07-01-2024,P116,Home,750.6,522.0,10,1,750.6,351,784.8,Normal,Sunday,228.60000000000002,0.30455635491606714,-34.19999999999993
07-01-2024,P117,Fashion,1183.0,769.58,0,1,1183.0,195,1206.15,Normal,Sunday,413.41999999999996,0.3494674556213017,-23.15000000000009
07-01-2024,P118,Sports,996.2,912.87,15,0,0.0,320,952.52,Normal,Sunday,0.0,,43.680000000000064
07-01-2024,P119,Fashion,239.0,170.44,0,6,1434.0,166,248.05,Sale,Sunday,411.36,0.2868619246861925,-9.050000000000011
08-01-2024,P100,Home,913.5,752.8,10,1,913.5,189,931.54,Normal,Monday,160.70000000000005,0.17591680350301045,-18.039999999999964
08-01-2024,P101,Electronics,922.5,710.42,10,0,0.0,179,876.85,Normal,Monday,0.0,,45.64999999999998
08-01-2024,P102,Home,252.9,214.57,10,4,1011.6,314,253.09,Normal,Monday,153.32000000000005,0.15156188216686442,-0.18999999999999773
08-01-2024,P103,Sports,1446.0,976.54,0,0,0.0,345,1492.08,Normal,Monday,0.0,,-46.07999999999993
08-01-2024,P104,Electronics,1447.0,1111.33,0,0,0.0,56,1400.62,Normal,Monday,0.0,,46.38000000000011
08-01-2024,P105,Home,391.0,289.98,0,2,782.0,212,394.21,Normal,Monday,202.03999999999996,0.2583631713554987,-3.2099999999999795
08-01-2024,P106,Fashion,479.75,403.0,5,2,959.5,270,477.16,Normal,Monday,153.5,0.15997915581031788,2.589999999999975
08-01-2024,P107,Home,658.0,484.72,0,0,0.0,304,643.1,Holiday,Monday,0.0,,14.899999999999977
08-01-2024,P108,Electronics,214.2,167.89,10,2,428.4,307,209.88,Normal,Monday,92.62,0.2161998132586368,4.319999999999993
08-01-2024,P109,Electronics,852.3,574.13,10,3,2556.9,376,887.2,Festival,Monday,834.5100000000002,0.3263756893112754,-34.90000000000009
08-01-2024,P110,Electronics,1332.0,982.94,10,2,2664.0,182,1364.75,Normal,Monday,698.1199999999999,0.262057057057057,-32.75
08-01-2024,P111,Sports,1154.7,817.41,10,0,0.0,98,1186.64,Normal,Monday,0.0,,-31.940000000000055
08-01-2024,P112,Home,586.0,444.98,0,0,0.0,397,610.13,Festival,Monday,0.0,,-24.129999999999995
08-01-2024,P113,Electronics,1386.05,947.63,5,0,0.0,463,1348.01,Normal,Monday,0.0,,38.039999999999964
08-01-2024,P114,Electronics,585.0,444.31,0,2,1170.0,91,582.38,Normal,Monday,281.38,0.24049572649572648,2.6200000000000045
08-01-2024,P115,Fashion,189.0,155.19,10,8,1512.0,411,194.29,Festival,Monday,270.48,0.1788888888888889,-5.289999999999992
08-01-2024,P116,Electronics,570.0,372.34,5,2,1140.0,329,542.55,Festival,Monday,395.32000000000005,0.34677192982456145,27.450000000000045
08-01-2024,P117,Sports,180.9,142.08,10,5,904.5,96,173.35,Normal,Monday,194.0999999999999,0.21459369817578763,7.550000000000011
08-01-2024,P118,Fashion,1319.55,991.06,5,3,3958.65,125,1359.21,Normal,Monday,985.4700000000003,0.24894092683111674,-39.66000000000008
08-01-2024,P119,Fashion,208.0,163.75,0,9,1872.0,389,208.86,Holiday,Monday,398.25,0.2127403846153846,-0.8600000000000136
09-01-2024,P100,Sports,1176.3,872.93,10,0,0.0,103,1126.91,Normal,Tuesday,0.0,,49.38999999999987
09-01-2024,P101,Home,1008.0,637.86,0,3,3024.0,31,1030.66,Normal,Tuesday,1110.42,0.367202380952381,-22.660000000000082
09-01-2024,P102,Electronics,1246.1,943.87,15,2,2492.2,411,1225.78,Sale,Tuesday,604.4599999999998,0.2425407270684535,20.319999999999936
09-01-2024,P103,Home,1066.85,718.62,5,0,0.0,466,1021.21,Normal,Tuesday,0.0,,45.63999999999987
09-01-2024,P104,Electronics,1061.0,840.48,0,1,1061.0,312,1097.74,Normal,Tuesday,220.51999999999998,0.20784165881244107,-36.74000000000001
09-01-2024,P105,Sports,1473.0,1097.46,0,3,4419.0,437,1528.01,Sale,Tuesday,1126.62,0.25494908350305495,-55.00999999999999
09-01-2024,P106,Home,385.0,301.25,0,2,770.0,59,389.73,Sale,Tuesday,167.5,0.21753246753246752,-4.730000000000018
09-01-2024,P107,Fashion,1082.05,768.33,5,3,3246.15,441,1072.64,Normal,Tuesday,941.1599999999999,0.2899311492075227,9.409999999999854
09-01-2024,P108,Sports,551.0,399.66,5,0,0.0,149,543.24,Normal,Tuesday,0.0,,7.759999999999991
09-01-2024,P109,Home,1379.4,873.82,5,0,0.0,183,1393.02,Holiday,Tuesday,0.0,,-13.61999999999989
09-01-2024,P110,Home,1233.0,757.92,0,5,6165.0,285,1235.44,Festival,Tuesday,2375.4,0.3853041362530414,-2.4400000000000546
09-01-2024,P111,Sports,712.0,463.16,0,0,0.0,126,703.41,Festival,Tuesday,0.0,,8.590000000000032
09-01-2024,P112,Electronics,453.6,387.49,10,1,453.6,226,457.47,Normal,Tuesday,66.11000000000001,0.1457451499118166,-3.8700000000000045
09-01-2024,P113,Fashion,996.0,725.09,0,0,0.0,78,964.13,Normal,Tuesday,0.0,,31.870000000000005
09-01-2024,P114,Fashion,1049.75,777.64,15,1,1049.75,318,1098.58,Normal,Tuesday,272.11,0.2592140985949036,-48.82999999999993
09-01-2024,P115,Sports,694.0,488.82,0,2,1388.0,170,696.24,Normal,Tuesday,410.36,0.2956484149855908,-2.240000000000009
09-01-2024,P116,Sports,945.0,705.52,0,0,0.0,283,915.55,Normal,Tuesday,0.0,,29.450000000000045
09-01-2024,P117,Fashion,1231.2,1048.13,10,1,1231.2,494,1264.26,Holiday,Tuesday,183.06999999999994,0.1486923326835607,-33.059999999999945
09-01-2024,P118,Electronics,1162.8,787.2,5,1,1162.8,88,1150.46,Normal,Tuesday,375.5999999999999,0.3230134158926728,12.339999999999918
09-01-2024,P119,Home,1245.6,943.03,10,0,0.0,96,1280.77,Normal,Tuesday,0.0,,-35.17000000000007
10-01-2024,P100,Fashion,1258.75,881.66,5,0,0.0,101,1297.5,Sale,Wednesday,0.0,,-38.75
10-01-2024,P101,Fashion,1021.0,745.14,0,2,2042.0,218,1034.29,Normal,Wednesday,551.72,0.2701860920666014,-13.289999999999964
10-01-2024,P102,Electronics,504.0,357.41,0,1,504.0,286,479.54,Festival,Wednesday,146.58999999999997,0.29085317460317456,24.45999999999998
10-01-2024,P103,Home,269.8,219.44,5,8,2158.4,136,269.24,Sale,Wednesday,402.8800000000001,0.18665678280207565,0.5600000000000023
10-01-2024,P104,Electronics,477.85,360.17,5,2,955.7,451,483.01,Normal,Wednesday,235.36,0.2462697499215235,-5.159999999999968
10-01-2024,P105,Electronics,545.4,415.82,10,5,2727.0,418,522.02,Normal,Wednesday,647.9000000000001,0.2375870920425376,23.379999999999995
10-01-2024,P106,Home,523.0,411.54,0,3,1569.0,400,502.15,Festival,Wednesday,334.3799999999999,0.2131166347992351,20.850000000000023
10-01-2024,P107,Sports,490.0,350.93,0,2,980.0,21,500.66,Normal,Wednesday,278.14,0.28381632653061223,-10.660000000000025
10-01-2024,P108,Electronics,521.55,349.29,5,0,0.0,416,504.94,Normal,Wednesday,0.0,,16.609999999999957
10-01-2024,P109,Sports,235.0,160.95,0,5,1175.0,191,242.42,Normal,Wednesday,370.25,0.3151063829787234,-7.4199999999999875
10-01-2024,P110,Home,306.0,244.91,10,3,918.0,412,317.76,Sale,Wednesday,183.26999999999998,0.19964052287581696,-11.759999999999991
10-01-2024,P111,Fashion,743.85,590.37,5,0,0.0,87,725.67,Normal,Wednesday,0.0,,18.180000000000064
10-01-2024,P112,Sports,1390.0,1019.58,0,1,1390.0,458,1407.22,Normal,Wednesday,370.41999999999996,0.2664892086330935,-17.220000000000027
10-01-2024,P113,Home,860.0,532.46,0,2,1720.0,495,872.21,Normal,Wednesday,655.0799999999999,0.380860465116279,-12.210000000000036
10-01-2024,P114,Electronics,789.0,573.13,0,0,0.0,339,760.74,Normal,Wednesday,0.0,,28.25999999999999
10-01-2024,P115,Home,658.0,525.25,0,0,0.0,237,631.95,Normal,Wednesday,0.0,,26.049999999999955
10-01-2024,P116,Electronics,1144.75,786.84,5,0,0.0,92,1155.71,Normal,Wednesday,0.0,,-10.960000000000036
10-01-2024,P117,Electronics,924.3,630.09,10,0,0.0,168,899.69,Normal,Wednesday,0.0,,24.6099999999999
10-01-2024,P118,Home,1213.0,783.8,0,4,4852.0,149,1175.44,Holiday,Wednesday,1716.8000000000002,0.35383347073371807,37.559999999999945
10-01-2024,P119,Fashion,299.25,192.79,5,6,1795.5,352,312.94,Festival,Wednesday,638.76,0.3557560568086884,-13.689999999999998
11-01-2024,P100,Home,407.0,277.53,0,1,407.0,31,420.1,Normal,Thursday,129.47000000000003,0.3181081081081082,-13.100000000000023
11-01-2024,P101,Sports,704.65,661.95,15,0,0.0,140,707.47,Festival,Thursday,0.0,,-2.82000000000005
11-01-2024,P102,Fashion,1059.3,891.67,10,0,0.0,479,1070.79,Sale,Thursday,0.0,,-11.490000000000009
11-01-2024,P103,Electronics,920.55,762.98,5,0,0.0,199,902.65,Normal,Thursday,0.0,,17.899999999999977
11-01-2024,P104,Fashion,459.0,322.5,10,1,459.0,335,462.42,Sale,Thursday,136.5,0.2973856209150327,-3.420000000000016
11-01-2024,P105,Sports,333.0,209.21,0,4,1332.0,418,343.61,Normal,Thursday,495.15999999999997,0.37174174174174174,-10.610000000000014
11-01-2024,P106,Fashion,960.5,756.22,15,2,1921.0,44,974.04,Normal,Thursday,408.55999999999995,0.21268089536699633,-13.539999999999964
