date,product_id,category,price,cost,discount_pct,units_sold,revenue,inventory_level,competitor_price,season,day_of_week
03-01-2024,P110,Electronics,261,182.52,0,3,783,38,255.72,Normal,Wednesday
03-01-2024,P111,Sports,1050,733.54,0,0,0,415,1007.13,Normal,Wednesday
03-01-2024,P112,Sports,1374,1039.1,0,2,2748,205,1433.21,Normal,Wednesday
03-01-2024,P113,Home,814.15,680.23,5,0,0,420,841.58,Normal,Wednesday
03-01-2024,P114,Electronics,1251.9,854.84,10,2,2503.8,24,1277.72,Normal,Wednesday
03-01-2024,P115,Fashion,594.15,452.49,15,1,594.15,311,599.61,Normal,Wednesday
03-01-2024,P116,Electronics,1075,765.06,0,3,3225,58,1118.68,Normal,Wednesday
03-01-2024,P117,Sports,607.5,508.57,10,0,0,406,622.34,Normal,Wednesday
03-01-2024,P118,Home,1023,721.9,0,1,1023,192,1053.91,Holiday,Wednesday
03-01-2024,P119,Home,914.85,592.01,5,2,1829.7,421,957.78,Normal,Wednesday
04-01-2024,P100,Home,1482,1156.3,0,0,0,243,1449.54,Normal,Thursday
04-01-2024,P101,Fashion,875,606.15,0,0,0,239,882.32,Normal,Thursday
04-01-2024,P102,Home,701,425.13,0,0,0,480,694.78,Festival,Thursday
04-01-2024,P103,Sports,997,770.89,0,4,3988,308,949.78,Sale,Thursday
04-01-2024,P104,Home,338.4,253.93,10,0,0,334,334.78,Sale,Thursday
04-01-2024,P105,Electronics,543.6,369.21,10,1,543.6,370,560.61,Festival,Thursday
04-01-2024,P106,Home,1076.4,891.29,10,1,1076.4,104,1063.25,Normal,Thursday
04-01-2024,P107,Fashion,615.6,475.85,5,2,1231.2,91,606.87,Normal,Thursday
04-01-2024,P108,Fashion,317,242.91,0,1,317,255,327.03,Normal,Thursday
04-01-2024,P109,Home,1062.1,839.65,5,0,0,454,1083.78,Holiday,Thursday
04-01-2024,P110,Fashion,954.75,725.23,5,4,3819,454,959.98,Holiday,Thursday
04-01-2024,P111,Sports,666.9,536.79,10,1,666.9,407,696.88,Normal,Thursday
04-01-2024,P112,Electronics,1123.85,720.65,5,1,1123.85,145,1106.7,Festival,Thursday
04-01-2024,P113,Sports,989.1,735.38,10,0,0,112,986.52,Holiday,Thursday
04-01-2024,P114,Home,1228,821.55,0,0,0,345,1170.51,Normal,Thursday
04-01-2024,P115,Fashion,1296,801.52,0,0,0,75,1320.34,Sale,Thursday
04-01-2024,P116,Electronics,482.4,351.28,10,2,964.8,272,494.38,Holiday,Thursday
04-01-2024,P117,Sports,249.3,191.82,10,4,997.2,331,237.75,Normal,Thursday
04-01-2024,P118,Home,949,711.68,0,0,0,313,983.85,Normal,Thursday
04-01-2024,P119,Fashion,1262,838.49,0,0,0,319,1240.23,Normal,Thursday
05-01-2024,P100,Electronics,266,194.12,0,2,532,489,268.24,Normal,Friday
05-01-2024,P101,Electronics,771.4,546.16,5,0,0,459,776.86,Normal,Friday
05-01-2024,P102,Electronics,861,555.4,0,1,861,369,859.95,Normal,Friday
05-01-2024,P103,Sports,428,340.89,0,0,0,239,423.63,Holiday,Friday
05-01-2024,P104,Fashion,972,754,10,2,1944,213,1003.19,Normal,Friday
05-01-2024,P105,Fashion,1341,995.28,0,0,0,159,1372.68,Normal,Friday
05-01-2024,P106,Sports,338,265.8,0,4,1352,409,341.17,Normal,Friday
05-01-2024,P107,Electronics,501.6,397.08,5,1,501.6,438,500.17,Normal,Friday
05-01-2024,P108,Fashion,369.75,296.54,15,3,1109.25,437,387.9,Normal,Friday
05-01-2024,P109,Sports,964.8,804.11,10,4,3859.2,184,996.17,Sale,Friday
05-01-2024,P110,Fashion,695.7,519.28,10,2,1391.4,315,688.22,Normal,Friday
05-01-2024,P111,Electronics,1183.7,856.94,5,2,2367.4,469,1166.58,Normal,Friday
05-01-2024,P112,Home,1072.7,786.71,15,1,1072.7,475,1086.4,Festival,Friday
05-01-2024,P113,Fashion,1235.9,1039.07,15,3,3707.7,430,1267.09,Festival,Friday
05-01-2024,P114,Fashion,716,555.15,0,1,716,178,739,Normal,Friday
05-01-2024,P115,Sports,1484,1034.75,0,6,8904,430,1524.35,Festival,Friday
05-01-2024,P116,Sports,993,645.81,0,0,0,349,961.38,Normal,Friday
05-01-2024,P117,Home,595,465.51,0,1,595,130,571.25,Festival,Friday
05-01-2024,P118,Sports,499.5,434.98,10,0,0,146,475.67,Normal,Friday
05-01-2024,P119,Electronics,978,674.98,0,4,3912,129,1025.42,Normal,Friday
06-01-2024,P100,Electronics,727.7,494.44,5,3,2183.1,328,718.92,Normal,Saturday
06-01-2024,P101,Home,585,405.49,0,0,0,147,609.48,Normal,Saturday
06-01-2024,P102,Home,1405,892.56,0,0,0,363,1393.61,Normal,Saturday
06-01-2024,P103,Fashion,1081.2,808.49,15,0,0,137,1043.21,Sale,Saturday
06-01-2024,P104,Sports,760,501.54,0,0,0,454,752.2,Normal,Saturday
06-01-2024,P105,Electronics,460.75,372.15,5,1,460.75,390,451.26,Normal,Saturday
06-01-2024,P106,Sports,1269.2,908.68,5,0,0,404,1225.44,Normal,Saturday
06-01-2024,P107,Home,361,246.11,0,5,1805,197,348.59,Sale,Saturday
06-01-2024,P108,Electronics,958,623.45,0,2,1916,347,958.53,Normal,Saturday
06-01-2024,P109,Home,1487,921.77,0,0,0,139,1520.05,Sale,Saturday
06-01-2024,P110,Sports,364,228.67,0,2,728,485,357.59,Normal,Saturday
06-01-2024,P111,Sports,252.9,218.77,10,2,505.8,253,248.9,Sale,Saturday
06-01-2024,P112,Home,595,455.85,0,3,1785,412,611.29,Normal,Saturday
06-01-2024,P113,Sports,935,640.51,0,1,935,59,913.37,Festival,Saturday
06-01-2024,P114,Electronics,1458,997.77,0,0,0,117,1516.4,Normal,Saturday
06-01-2024,P115,Electronics,1238.4,962.5,10,2,2476.8,361,1189.68,Normal,Saturday
06-01-2024,P116,Fashion,883.5,669.12,5,4,3534,474,898.08,Normal,Saturday
06-01-2024,P117,Fashion,296.1,208.34,10,2,592.2,311,283.75,Sale,Saturday
06-01-2024,P118,Home,189,140.94,10,3,567,246,185.17,Holiday,Saturday
06-01-2024,P119,Home,1233.9,867.02,10,0,0,384,1276.64,Normal,Saturday
07-01-2024,P100,Fashion,244.8,167.29,10,5,1224,446,244.69,Normal,Sunday
07-01-2024,P101,Electronics,1098.2,876.25,5,0,0,31,1100.54,Normal,Sunday
07-01-2024,P102,Sports,774,646.55,10,2,1548,219,784.62,Normal,Sunday
07-01-2024,P103,Home,1180,819.68,0,1,1180,26,1135.22,Normal,Sunday
07-01-2024,P104,Fashion,1026,809.36,0,3,3078,442,1063.15,Normal,Sunday
07-01-2024,P105,Sports,1194,850.29,0,3,3582,190,1239.97,Normal,Sunday
07-01-2024,P106,Sports,226.1,157.81,5,8,1808.8,428,232.67,Festival,Sunday
07-01-2024,P107,Fashion,433.5,353.12,15,2,867,288,411.84,Normal,Sunday
07-01-2024,P108,Home,1262,759.59,0,0,0,337,1210.07,Normal,Sunday
07-01-2024,P109,Home,539,402.91,0,5,2695,161,518,Normal,Sunday
07-01-2024,P110,Fashion,492,299.34,0,0,0,92,516,Normal,Sunday
07-01-2024,P111,Sports,818.1,723.99,10,3,2454.3,81,826.35,Festival,Sunday
07-01-2024,P112,Sports,825.35,627.59,15,1,825.35,392,837.7,Sale,Sunday
07-01-2024,P113,Electronics,856.8,753.46,10,0,0,73,882.57,Holiday,Sunday
07-01-2024,P114,Home,1243,993.13,0,0,0,197,1230.1,Normal,Sunday
07-01-2024,P115,Electronics,1343,1006.68,0,2,2686,376,1396.04,Normal,Sunday
07-01-2024,P116,Home,750.6,522,10,1,750.6,351,784.8,Normal,Sunday
07-01-2024,P117,Fashion,1183,769.58,0,1,1183,195,1206.15,Normal,Sunday
07-01-2024,P118,Sports,996.2,912.87,15,0,0,320,952.52,Normal,Sunday
07-01-2024,P119,Fashion,239,170.44,0,6,1434,166,248.05,Sale,Sunday
08-01-2024,P100,Home,913.5,752.8,10,1,913.5,189,931.54,Normal,Monday
08-01-2024,P101,Electronics,922.5,710.42,10,0,0,179,876.85,Normal,Monday
08-01-2024,P102,Home,252.9,214.57,10,4,1011.6,314,253.09,Normal,Monday
08-01-2024,P103,Sports,1446,976.54,0,0,0,345,1492.08,Normal,Monday
08-01-2024,P104,Electronics,1447,1111.33,0,0,0,56,1400.62,Normal,Monday
08-01-2024,P105,Home,391,289.98,0,2,782,212,394.21,Normal,Monday
08-01-2024,P106,Fashion,479.75,403,5,2,959.5,270,477.16,Normal,Monday
08-01-2024,P107,Home,658,484.72,0,0,0,304,643.1,Holiday,Monday
08-01-2024,P108,Electronics,214.2,167.89,10,2,428.4,307,209.88,Normal,Monday
08-01-2024,P109,Electronics,852.3,574.13,10,3,2556.9,376,887.2,Festival,Monday
08-01-2024,P110,Electronics,1332,982.94,10,2,2664,182,1364.75,Normal,Monday
08-01-2024,P111,Sports,1154.7,817.41,10,0,0,98,1186.64,Normal,Monday
08-01-2024,P112,Home,586,444.98,0,0,0,397,610.13,Festival,Monday
08-01-2024,P113,Electronics,1386.05,947.63,5,0,0,463,1348.01,Normal,Monday
08-01-2024,P114,Electronics,585,444.31,0,2,1170,91,582.38,Normal,Monday
08-01-2024,P115,Fashion,189,155.19,10,8,1512,411,194.29,Festival,Monday
08-01-2024,P116,Electronics,570,372.34,5,2,1140,329,542.55,Festival,Monday
08-01-2024,P117,Sports,180.9,142.08,10,5,904.5,96,173.35,Normal,Monday
08-01-2024,P118,Fashion,1319.55,991.06,5,3,3958.65,125,1359.21,Normal,Monday
08-01-2024,P119,Fashion,208,163.75,0,9,1872,389,208.86,Holiday,Monday
09-01-2024,P100,Sports,1176.3,872.93,10,0,0,103,1126.91,Normal,Tuesday
09-01-2024,P101,Home,1008,637.86,0,3,3024,31,1030.66,Normal,Tuesday
09-01-2024,P102,Electronics,1246.1,943.87,15,2,2492.2,411,1225.78,Sale,Tuesday
09-01-2024,P103,Home,1066.85,718.62,5,0,0,466,1021.21,Normal,Tuesday
09-01-2024,P104,Electronics,1061,840.48,0,1,1061,312,1097.74,Normal,Tuesday
09-01-2024,P105,Sports,1473,1097.46,0,3,4419,437,1528.01,Sale,Tuesday
09-01-2024,P106,Home,385,301.25,0,2,770,59,389.73,Sale,Tuesday
09-01-2024,P107,Fashion,1082.05,768.33,5,3,3246.15,441,1072.64,Normal,Tuesday
09-01-2024,P108,Sports,551,399.66,5,0,0,149,543.24,Normal,Tuesday
09-01-2024,P109,Home,1379.4,873.82,5,0,0,183,1393.02,Holiday,Tuesday
09-01-2024,P110,Home,1233,757.92,0,5,6165,285,1235.44,Festival,Tuesday
09-01-2024,P111,Sports,712,463.16,0,0,0,126,703.41,Festival,Tuesday
09-01-2024,P112,Electronics,453.6,387.49,10,1,453.6,226,457.47,Normal,Tuesday
09-01-2024,P113,Fashion,996,725.09,0,0,0,78,964.13,Normal,Tuesday
09-01-2024,P114,Fashion,1049.75,777.64,15,1,1049.75,318,1098.58,Normal,Tuesday
09-01-2024,P115,Sports,694,488.82,0,2,1388,170,696.24,Normal,Tuesday
09-01-2024,P116,Sports,945,705.52,0,0,0,283,915.55,Normal,Tuesday
09-01-2024,P117,Fashion,1231.2,1048.13,10,1,1231.2,494,1264.26,Holiday,Tuesday
09-01-2024,P118,Electronics,1162.8,787.2,5,1,1162.8,88,1150.46,Normal,Tuesday
09-01-2024,P119,Home,1245.6,943.03,10,0,0,96,1280.77,Normal,Tuesday
10-01-2024,P100,Fashion,1258.75,881.66,5,0,0,101,1297.5,Sale,Wednesday
10-01-2024,P101,Fashion,1021,745.14,0,2,2042,218,1034.29,Normal,Wednesday
10-01-2024,P102,Electronics,504,357.41,0,1,504,286,479.54,Festival,Wednesday
10-01-2024,P103,Home,269.8,219.44,5,8,2158.4,136,269.24,Sale,Wednesday
10-01-2024,P104,Electronics,477.85,360.17,5,2,955.7,451,483.01,Normal,Wednesday
10-01-2024,P105,Electronics,545.4,415.82,10,5,2727,418,522.02,Normal,Wednesday
10-01-2024,P106,Home,523,411.54,0,3,1569,400,502.15,Festival,Wednesday
10-01-2024,P107,Sports,490,350.93,0,2,980,21,500.66,Normal,Wednesday
10-01-2024,P108,Electronics,521.55,349.29,5,0,0,416,504.94,Normal,Wednesday
10-01-2024,P109,Sports,235,160.95,0,5,1175,191,242.42,Normal,Wednesday
10-01-2024,P110,Home,306,244.91,10,3,918,412,317.76,Sale,Wednesday
10-01-2024,P111,Fashion,743.85,590.37,5,0,0,87,725.67,Normal,Wednesday
10-01-2024,P112,Sports,1390,1019.58,0,1,1390,458,1407.22,Normal,Wednesday
10-01-2024,P113,Home,860,532.46,0,2,1720,495,872.21,Normal,Wednesday
10-01-2024,P114,Electronics,789,573.13,0,0,0,339,760.74,Normal,Wednesday
10-01-2024,P115,Home,658,525.25,0,0,0,237,631.95,Normal,Wednesday
10-01-2024,P116,Electronics,1144.75,786.84,5,0,0,92,1155.71,Normal,Wednesday
10-01-2024,P117,Electronics,924.3,630.09,10,0,0,168,899.69,Normal,Wednesday
10-01-2024,P118,Home,1213,783.8,0,4,4852,149,1175.44,Holiday,Wednesday
10-01-2024,P119,Fashion,299.25,192.79,5,6,1795.5,352,312.94,Festival,Wednesday
11-01-2024,P100,Home,407,277.53,0,1,407,31,420.1,Normal,Thursday
11-01-2024,P101,Sports,704.65,661.95,15,0,0,140,707.47,Festival,Thursday
11-01-2024,P102,Fashion,1059.3,891.67,10,0,0,479,1070.79,Sale,Thursday
11-01-2024,P103,Electronics,920.55,762.98,5,0,0,199,902.65,Normal,Thursday
11-01-2024,P104,Fashion,459,322.5,10,1,459,335,462.42,Sale,Thursday
11-01-2024,P105,Sports,333,209.21,0,4,1332,418,343.61,Normal,Thursday
11-01-2024,P106,Fashion,960.5,756.22,15,2,1921,44,974.04,Normal,Thursday
11-01-2024,P107,Electronics,1199.7,1039.28,10,0,0,444,1177.81,Sale,Thursday
11-01-2024,P108,Fashion,1116,675.36,0,2,2232,463,1167.68,Sale,Thursday
11-01-2024,P109,Sports,1128.6,737.91,5,1,1128.6,273,1096.55,Festival,Thursday
11-01-2024,P110,Home,1210,862.59,0,0,0,401,1175.12,Holiday,Thursday
11-01-2024,P111,Electronics,1379,911.04,0,0,0,271,1405.5,Festival,Thursday
11-01-2024,P112,Sports,984,636.18,0,0,0,439,951.9,Normal,Thursday
11-01-2024,P113,Home,318.6,241.72,10,3,955.8,105,326.04,Holiday,Thursday
11-01-2024,P114,Fashion,604,364.72,0,3,1812,333,619.72,Normal,Thursday
11-01-2024,P115,Electronics,1436,918.71,0,0,0,484,1370.32,Normal,Thursday
11-01-2024,P116,Home,507,331.17,0,0,0,53,488.1,Normal,Thursday
11-01-2024,P117,Sports,677.7,570.02,10,1,677.7,36,708.56,Festival,Thursday
11-01-2024,P118,Fashion,771,474.38,0,0,0,463,804.18,Sale,Thursday
11-01-2024,P119,Fashion,359.1,257.51,10,2,718.2,192,357.33,Normal,Thursday
12-01-2024,P100,Electronics,286,210.51,0,1,286,62,274.13,Festival,Friday
12-01-2024,P101,Home,480.25,451.05,15,2,960.5,47,501.49,Normal,Friday
12-01-2024,P102,Electronics,549,420.59,0,4,2196,130,544.84,Normal,Friday
12-01-2024,P103,Electronics,528,357.13,0,0,0,401,508.01,Normal,Friday
12-01-2024,P104,Electronics,519.3,401.39,10,5,2596.5,183,510.07,Normal,Friday
12-01-2024,P105,Home,1091,688.78,0,4,4364,421,1048.54,Normal,Friday
12-01-2024,P106,Home,992.75,718.84,5,0,0,433,1036.74,Holiday,Friday
12-01-2024,P107,Electronics,288.9,244.98,10,3,866.7,252,298.91,Normal,Friday
12-01-2024,P108,Fashion,774,684.28,10,2,1548,170,778.47,Festival,Friday
12-01-2024,P109,Fashion,1059,644.54,0,1,1059,482,1020,Normal,Friday
12-01-2024,P110,Home,287,191.85,0,6,1722,372,294.41,Normal,Friday
12-01-2024,P111,Home,276.3,223.27,10,5,1381.5,381,266.91,Normal,Friday
12-01-2024,P112,Sports,1484,1152.01,0,4,5936,339,1438.58,Sale,Friday
12-01-2024,P113,Home,1122,827.56,0,1,1122,439,1126.34,Normal,Friday
12-01-2024,P114,Fashion,1235,925.2,0,1,1235,396,1291.57,Festival,Friday
12-01-2024,P115,Home,1324,827.42,0,3,3972,413,1342.98,Sale,Friday
12-01-2024,P116,Electronics,1021,754.65,0,2,2042,279,1033.21,Normal,Friday
12-01-2024,P117,Electronics,725,539.89,0,0,0,407,705.09,Normal,Friday
12-01-2024,P118,Fashion,793,571.3,0,3,2379,338,778.89,Normal,Friday
12-01-2024,P119,Fashion,1273,1015.35,5,0,0,247,1265.39,Normal,Friday
13-01-2024,P100,Electronics,1369,923.1,0,0,0,322,1410.26,Holiday,Saturday
13-01-2024,P101,Sports,859,650.37,0,5,4295,97,851.26,Festival,Saturday
13-01-2024,P102,Fashion,1036,659.82,0,4,4144,480,1018.86,Festival,Saturday
13-01-2024,P103,Home,762,600.56,0,2,1524,88,756.64,Sale,Saturday
13-01-2024,P104,Electronics,1116,771.87,0,1,1116,279,1075.1,Normal,Saturday
13-01-2024,P105,Sports,957.6,636.84,5,1,957.6,50,922.68,Holiday,Saturday
13-01-2024,P106,Electronics,1125,738.62,0,0,0,410,1072.83,Normal,Saturday
13-01-2024,P107,Fashion,404,264.07,0,1,404,126,418.26,Normal,Saturday
13-01-2024,P108,Electronics,355.5,261.9,10,3,1066.5,418,340.8,Normal,Saturday
13-01-2024,P109,Home,656.45,523.46,5,2,1312.9,40,656.09,Normal,Saturday
13-01-2024,P110,Fashion,1183,789.83,0,0,0,415,1235.88,Normal,Saturday
13-01-2024,P111,Fashion,1155.2,936.47,5,0,0,80,1157.9,Normal,Saturday
13-01-2024,P112,Home,590.9,461.25,5,2,1181.8,217,566.18,Sale,Saturday
13-01-2024,P113,Electronics,1160.1,798.55,10,0,0,186,1155.48,Normal,Saturday
13-01-2024,P114,Sports,770,532.72,0,4,3080,467,792.04,Normal,Saturday
13-01-2024,P115,Sports,413,249.28,0,3,1239,135,419.59,Sale,Saturday
13-01-2024,P116,Electronics,791.1,700.56,10,0,0,428,753.69,Normal,Saturday
13-01-2024,P117,Home,973,656.18,0,0,0,446,963.02,Sale,Saturday
13-01-2024,P118,Sports,467,329.08,0,0,0,183,480.68,Normal,Saturday
13-01-2024,P119,Fashion,1327,934.26,0,1,1327,405,1334.67,Normal,Saturday
14-01-2024,P100,Home,409.7,315.89,15,3,1229.1,148,394.98,Normal,Sunday
14-01-2024,P101,Electronics,390.15,348.71,15,4,1560.6,156,404.07,Sale,Sunday
14-01-2024,P102,Sports,1149.2,924.16,15,1,1149.2,288,1168.5,Normal,Sunday
14-01-2024,P103,Home,496.8,334.44,10,1,496.8,152,482.38,Holiday,Sunday
14-01-2024,P104,Electronics,845,627.03,0,3,2535,450,842.56,Festival,Sunday
14-01-2024,P105,Sports,675,475.93,0,0,0,237,648.87,Normal,Sunday
14-01-2024,P106,Sports,745,498.84,0,2,1490,460,763.54,Normal,Sunday
14-01-2024,P107,Fashion,1017,685.03,10,2,2034,443,976.97,Normal,Sunday
14-01-2024,P108,Fashion,340,292.42,15,0,0,147,325.47,Festival,Sunday
14-01-2024,P109,Home,732,444.06,0,1,732,161,743.21,Holiday,Sunday
14-01-2024,P110,Electronics,991.8,814.08,5,0,0,238,1028.92,Normal,Sunday
14-01-2024,P111,Sports,700,496.53,0,0,0,353,733.38,Normal,Sunday
14-01-2024,P112,Sports,896.75,638.73,15,3,2690.25,102,863.34,Holiday,Sunday
14-01-2024,P113,Electronics,1221.7,915.42,5,1,1221.7,294,1225.69,Sale,Sunday
14-01-2024,P114,Fashion,875,541.89,0,2,1750,395,832.34,Normal,Sunday
14-01-2024,P115,Home,240.3,207.04,10,7,1682.1,105,236.22,Sale,Sunday
14-01-2024,P116,Home,1115.1,802.75,10,4,4460.4,54,1063.21,Normal,Sunday
14-01-2024,P117,Sports,1499,965.42,0,2,2998,220,1534.61,Holiday,Sunday
14-01-2024,P118,Electronics,646.95,528.32,5,0,0,450,648.08,Normal,Sunday
14-01-2024,P119,Home,225,142.42,0,4,900,57,235.08,Normal,Sunday
15-01-2024,P100,Sports,547,339.6,0,2,1094,361,546.33,Normal,Monday
15-01-2024,P101,Sports,1179,892.63,10,0,0,80,1120.39,Normal,Monday
15-01-2024,P102,Sports,561,445.61,0,6,3366,443,559.99,Normal,Monday
15-01-2024,P103,Electronics,1197,922.68,0,0,0,423,1236.9,Normal,Monday
15-01-2024,P104,Electronics,903,634.39,0,1,903,284,941.99,Sale,Monday
15-01-2024,P105,Home,382,295.99,0,5,1910,166,389.73,Normal,Monday
15-01-2024,P106,Electronics,180,135.59,10,10,1800,464,186.88,Festival,Monday
15-01-2024,P107,Home,1187,907.15,0,0,0,362,1203.19,Festival,Monday
15-01-2024,P108,Electronics,996.55,683.25,5,3,2989.65,439,1026.48,Normal,Monday
15-01-2024,P109,Electronics,531,327.12,0,2,1062,466,554.46,Festival,Monday
15-01-2024,P110,Home,1489,1042.94,0,1,1489,58,1431.78,Sale,Monday
15-01-2024,P111,Sports,457,275.27,0,0,0,340,447.63,Normal,Monday
15-01-2024,P112,Electronics,1436,1093.66,0,0,0,427,1431.2,Festival,Monday
15-01-2024,P113,Home,516.6,406.68,10,6,3099.6,383,521.26,Sale,Monday
15-01-2024,P114,Sports,1395,1092.74,0,0,0,67,1369.73,Normal,Monday
15-01-2024,P115,Sports,878,616.65,0,0,0,440,890.8,Sale,Monday
15-01-2024,P116,Sports,1353.75,1039.06,5,3,4061.25,498,1332.17,Sale,Monday
15-01-2024,P117,Sports,1427,1015.94,0,0,0,453,1379.53,Normal,Monday
15-01-2024,P118,Home,274,171.84,0,0,0,382,266.02,Normal,Monday
15-01-2024,P119,Electronics,272.85,200.06,15,3,818.55,106,267.77,Normal,Monday
16-01-2024,P100,Electronics,539.6,350.82,5,0,0,420,520.8,Normal,Tuesday
16-01-2024,P101,Electronics,873,553.19,0,1,873,406,902.56,Normal,Tuesday
16-01-2024,P102,Home,961,587.68,0,1,961,319,938.92,Sale,Tuesday
16-01-2024,P103,Electronics,613.8,429.73,10,0,0,292,595.83,Festival,Tuesday
16-01-2024,P104,Fashion,864.9,665.29,10,1,864.9,24,834.45,Normal,Tuesday
16-01-2024,P105,Electronics,1226.7,828.15,10,1,1226.7,24,1232.75,Sale,Tuesday
16-01-2024,P106,Fashion,1217,959.98,0,0,0,323,1212.46,Normal,Tuesday
16-01-2024,P107,Sports,1258.75,933.45,5,0,0,430,1251.35,Normal,Tuesday
16-01-2024,P108,Fashion,1173,810.77,0,0,0,258,1184.98,Normal,Tuesday
16-01-2024,P109,Sports,1026,784.13,10,0,0,166,1066.33,Normal,Tuesday
16-01-2024,P110,Electronics,1236,981.76,0,2,2472,133,1264.93,Normal,Tuesday
16-01-2024,P111,Fashion,519,342.48,0,5,2595,171,534.8,Festival,Tuesday
16-01-2024,P112,Fashion,1316.7,1108.2,5,3,3950.1,346,1359.95,Normal,Tuesday
16-01-2024,P113,Home,306,255.23,10,1,306,146,310.85,Sale,Tuesday
16-01-2024,P114,Home,1194.3,902.12,10,0,0,279,1168.07,Normal,Tuesday
16-01-2024,P115,Sports,231.8,193.01,5,4,927.2,443,227.15,Normal,Tuesday
